Date,Location,Turbidity (RFU),Phosphate (mg/L),"Nitrate, Mid-Range (mg/L)","Nitrate, High-Range (mg/L)",pH,Alkalinity (mg/L CaCO3),Silica (mg/L),Iron (mg/L),Ammonia (mg/L),ORP,Initials,Notes
2018-03-17,Mangroves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-20,Mangroves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-29,Mangroves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-03,Mangroves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-11,Mangroves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-19,Mangroves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-27,Mangroves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-05-01,Mangroves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-05-10,Mangroves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-05-18,Mangroves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-05-25,Mangroves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-06-01,Mangroves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-06-07,Mangroves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-06-13,Mangroves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-06-22,Mangroves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-06-26,Mangroves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-05,Mangroves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-10,Mangroves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-19,Mangroves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-01,Mangroves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-21,Mangroves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-27,Mangroves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-04,Mangroves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-06,Mangroves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-13,Mangroves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-19,Mangroves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KL,NA
2018-10-25,Mangroves,16,0.68,2.2,2.9,NA,NA,NA,NA,NA,NA,KL,NA
2018-11-01,Mangroves,14,1.12,1.8,2.4,NA,NA,NA,NA,NA,NA,KL,NA
2018-11-08,Mangroves,14,1.06,1.8,4.1,NA,NA,NA,NA,NA,NA,KL,NA
2018-11-15,Mangroves,12,0.97,1.3,1.7,NA,NA,NA,NA,NA,NA,KL,NA
2018-11-18,Mangroves,NA,NA,NA,NA,8.6,NA,NA,NA,NA,NA,DMT,NA
2018-11-20,Mangroves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FL, KM",NA
2018-11-30,Mangroves,15,0.99,0.9,0.9,NA,NA,NA,NA,NA,NA,"AB, KL",NA
2018-12-01,Mangroves,17,0.97,0.7,1.7,NA,NA,NA,NA,NA,NA,KM,NA
2018-12-06,Mangroves,16,1.04,0.9,0.9,NA,NA,NA,NA,NA,NA,"KM, FL",NA
2018-12-07,Mangroves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KM,NA
2018-12-13,Mangroves,10,1.04,1.5,1.1,NA,NA,NA,NA,NA,NA,KL,NA
2018-12-21,Mangroves,15,0.77,0.9,1.4,NA,NA,NA,NA,NA,NA,KM,NA
2019-01-03,Mangroves,15,0.71,1,1.2,NA,NA,NA,NA,NA,NA,"KM, FL",NA
2019-01-19,Mangroves,17,0.78,0.8,0.8,8.35,NA,NA,NA,NA,NA,KM,NA
2019-01-25,Mangroves,16,1.06,0.9,2,NA,NA,NA,NA,NA,NA,KL,NA
2019-01-31,Mangroves,16,1,1,1.2,NA,NA,NA,NA,NA,NA,KL,NA
2019-02-01,Mangroves,17,1.15,0.7,0.9,NA,NA,NA,NA,NA,NA,KL,NA
2019-02-21,Mangroves,22,1.8,0.9,0.7,NA,NA,NA,NA,NA,NA,KL,NA
2019-02-28,Mangroves,18,0.87,0.9,0.7,NA,NA,NA,NA,NA,NA,KL,NA
2019-03-01,Mangroves,22,0.71,0.7,0.4,NA,NA,NA,NA,NA,NA,KL,NA
2019-03-07,Mangroves,31,NA,1.7,6.6,NA,NA,NA,NA,NA,NA,KL,NA
2019-03-14,Mangroves,24,0.68,1.3,5.8,8.2,NA,NA,NA,NA,NA,KL,NA
2019-03-21,Mangroves,17,0.43,1.4,0.9,NA,NA,NA,NA,NA,NA,KL,NA
2019-03-22,Mangroves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KL,NA
2019-03-28,Mangroves,17,0.53,0.8,0.7,7.9,NA,NA,NA,NA,NA,KL,NA
2019-04-04,Mangroves,17,0.76,2.1,7.2,8.2,NA,NA,NA,NA,NA,KL,NA
2019-04-11,Mangroves,13,0.53,1.5,7.8,7.9,NA,NA,NA,NA,NA,KL,NA
2019-04-18,Mangroves,15,0.6,1.4,10.8,8.1,NA,NA,NA,NA,NA,KL,NA
2019-04-25,Mangroves,18,0.65,1,0.8,8.3,NA,NA,NA,NA,NA,KL,NA
2019-05-02,Mangroves,0,0.59,1.1,0.8,7.8,NA,NA,NA,NA,NA,KL,NA
2019-05-17,Mangroves,22,0.38,1.7,1.9,NA,NA,NA,NA,NA,NA,KM,NA
2019-05-31,Mangroves,13,0.31,0.9,1,NA,NA,NA,NA,NA,NA,"KM, LC, ES",NA
2019-06-07,Mangroves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ES,NA
2019-06-11,Mangroves,17,0.43,1,0.8,8.43,NA,NA,NA,NA,59,"JT, KM, DT",NA
2019-06-14,Mangroves,14,0.37,1,2.4,NA,NA,NA,NA,NA,NA,"LC, KM",NA
2019-06-18,Mangroves,7,0.47,1.1,0.5,8.46,NA,NA,NA,NA,11,"JT, KM",NA
2019-06-21,Mangroves,17,0.54,0.8,0.8,8.37,NA,NA,NA,NA,15,"LC, JT",NA
2019-06-25,Mangroves,18,0.42,0.7,0.9,8.45,NA,NA,NA,NA,2,JT,NA
2019-06-28,Mangroves,29,0.49,0.4,0.5,8.45,NA,NA,NA,NA,5,"LC, JT",NA
2019-07-02,Mangroves,17,0.6,0.9,1.3,8.47,NA,NA,NA,NA,0,JT,NA
2019-07-05,Mangroves,17,0.54,1.4,1,8.47,NA,NA,NA,NA,31,JT,NA
2019-07-09,Mangroves,20,0.25,1.1,0.8,8.49,NA,NA,NA,NA,29,KM,NA
2019-07-12,Mangroves,15,0.29,0.8,0.5,8.39,NA,NA,NA,NA,1,LC,NA
2019-07-16,Mangroves,17,0.53,0.9,0.3,8.43,NA,NA,NA,NA,30,JT,NA
2019-07-19,Mangroves,16,0.61,0.5,1.1,8.34,NA,NA,NA,NA,30,LC,NA
2019-07-23,Mangroves,17,0.46,0.8,0.5,8.3,NA,NA,NA,NA,72,JT,NA
2019-07-26,Mangroves,15,0.8,1.8,1.7,8.3,NA,NA,NA,NA,48,JT,NA
2019-07-30,Mangroves,29,0.52,0.7,0.3,8.31,NA,NA,NA,NA,67,JT,NA
2019-08-02,Mangroves,19,0.61,1.1,1,8.32,NA,NA,NA,NA,61,JT,NA
2019-08-09,Mangroves,38,0.55,NA,NA,NA,NA,NA,NA,NA,NA,KM,NA
2019-08-16,Mangroves,6,0.37,NA,NA,8.34,NA,NA,NA,NA,81,LC,NA
2019-08-23,Mangroves,19,0.39,1.3,0.5,NA,NA,NA,NA,NA,NA,KM,NA
2019-09-06,Mangroves,19,0.63,0.9,1.1,8.33,NA,NA,NA,NA,NA,KM,NA
2019-09-13,Mangroves,19,0.35,0.7,0.7,8.78,NA,NA,NA,NA,NA,KL,NA
2019-09-20,Mangroves,20,0.76,0.7,0.6,8.74,NA,NA,NA,NA,NA,KL,NA
2019-09-27,Mangroves,25,0.91,0.7,0.6,8.66,NA,NA,NA,NA,NA,KL,NA
2019-10-17,Mangroves,17,0.66,0.7,0.3,8.38,NA,NA,NA,NA,NA,KM,NA
2019-10-25,Mangroves,18,0.63,0.6,0.3,8.48,NA,NA,NA,NA,NA,KL,NA
2019-11-01,Mangroves,17,0.53,0.8,1.3,8.47,NA,NA,NA,NA,NA,KL,NA
2019-11-08,Mangroves,15,0.77,0.4,0.7,8.46,NA,NA,NA,NA,NA,KL,NA
2019-11-15,Mangroves,16,0.71,1.4,2.2,8.46,NA,NA,NA,NA,NA,KL,NA
2019-11-22,Mangroves,16,0.7,0.3,0.3,NA,NA,NA,NA,NA,NA,KL,NA
2019-11-27,Mangroves,10,0.61,0.2,0,8.56,NA,NA,NA,NA,NA,KL,NA
2019-12-20,Mangroves,15,2.06,0.4,0.3,8.65,NA,NA,NA,NA,NA,KL,NA
2019-12-27,Mangroves,14,1.31,0.2,0.3,8.61,NA,NA,NA,NA,NA,KL,NA
2020-01-03,Mangroves,18,1.47,0.1,0.4,NA,NA,NA,NA,NA,NA,KL,NA
2020-01-10,Mangroves,17,1.48,0.4,0,NA,NA,NA,NA,NA,NA,KL,NA
2020-01-17,Mangroves,21,1.45,0.2,0,NA,NA,NA,NA,NA,NA,KL,NA
2020-01-24,Mangroves,23,1.48,0.4,NA,NA,NA,NA,NA,NA,NA,KL,NA
2020-01-31,Mangroves,21,1.73,0.2,0,8.72,NA,NA,NA,NA,NA,KL,NA
2020-02-07,Mangroves,19,1.2,0.3,NA,NA,NA,NA,NA,NA,NA,KL,NA
2020-02-14,Mangroves,23,1.43,0.3,0.3,8.8,NA,NA,NA,NA,NA,KL,NA
2020-02-21,Mangroves,20,1.41,0.3,0,NA,NA,NA,NA,NA,NA,KL,NA
2020-02-28,Mangroves,19,1.21,0.3,0,8.75,NA,NA,NA,NA,NA,KL,NA
2020-03-06,Mangroves,18,1.49,0.5,0.3,8.71,NA,NA,NA,NA,NA,KL,NA
2020-03-13,Mangroves,24,1.51,0.6,0.2,NA,NA,NA,NA,NA,NA,KL,NA
2020-03-20,Mangroves,25,1.74,0.3,0,8.21,NA,NA,NA,NA,NA,KL/KM,NA
2020-03-28,Mangroves,17,0.81,0.4,0.3,8.16,NA,NA,NA,NA,NA,KM,NA
2020-04-03,Mangroves,22,0.87,0.5,0.4,8.15,NA,NA,NA,NA,NA,KM,NA
2020-04-10,Mangroves,27,0.56,0.4,0,8.2,NA,NA,NA,NA,NA,KM,NA
2020-04-17,Mangroves,21,0.66,0.5,0.3,8.23,NA,NA,NA,NA,NA,KM,NA
2020-04-25,Mangroves,20,0.61,0.4,0,8.21,NA,NA,NA,NA,NA,KM,NA
2020-05-01,Mangroves,17,0,1.2,0.6,8.21,NA,NA,NA,NA,NA,KM,NA
2020-05-08,Mangroves,19,0.88,0.1,1,8.14,NA,NA,NA,NA,NA,KL,NA
2020-05-15,Mangroves,17,0.87,0.9,0.7,8.16,NA,NA,NA,NA,NA,KL,NA
2020-05-22,Mangroves,22,0.88,0.7,0.8,8.24,NA,NA,NA,NA,NA,KL/KM,NA
2020-05-29,Mangroves,17,0.84,0.8,NA,8.37,NA,NA,NA,NA,NA,KL/KM,NA
2020-06-05,Mangroves,18,0.68,0.9,0.6,8.42,NA,NA,NA,NA,NA,KM,NA
2020-06-12,Mangroves,19,0.79,0.9,0.3,8.33,NA,NA,NA,NA,NA,KM,NA
2020-06-19,Mangroves,19,0.94,0.8,0.8,NA,NA,NA,NA,NA,NA,KL,NA
2020-06-26,Mangroves,17,0.9,0.8,0.7,8.31,NA,NA,NA,NA,NA,KM,NA
2020-07-03,Mangroves,19,0.82,0.6,0.5,8.32,NA,NA,NA,NA,NA,KM,NA
2020-07-10,Mangroves,19,1.14,0.7,1.7,NA,NA,NA,NA,NA,NA,KM,NA
2020-07-17,Mangroves,23,1.49,0.9,0.3,NA,NA,NA,NA,NA,NA,KL,NA
2020-07-24,Mangroves,23,1.2,0.9,0.5,NA,NA,NA,NA,NA,NA,KL,NA
2020-07-28,Mangroves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KL,NA
2020-07-31,Mangroves,23,0.9,0.6,0.1,NA,NA,NA,NA,NA,NA,KM,NA
2020-08-07,Mangroves,21,0.66,0.5,0.6,NA,NA,NA,NA,NA,NA,KM,NA
2020-08-14,Mangroves,21,1.44,0.8,1.2,NA,NA,NA,NA,NA,NA,KL,NA
2020-08-21,Mangroves,20,1.13,1.3,0.5,NA,NA,NA,NA,NA,NA,KL,NA
2020-08-28,Mangroves,22,0.75,1.5,1.6,NA,NA,NA,NA,NA,NA,KL,NA
2020-09-04,Mangroves,21,1.23,1.4,1.3,NA,NA,NA,NA,NA,NA,KL,NA
2020-09-11,Mangroves,16,0.9,1.6,1.9,NA,NA,NA,NA,NA,NA,KL & DMT,NA
2020-09-18,Mangroves,20,0.6,1.2,0.5,8.4,NA,NA,NA,NA,NA,"KM, BS & DMT",NA
2020-09-25,Mangroves,18,0.8,1.3,1.7,NA,NA,NA,NA,NA,NA,KM/BS,NA
2020-10-02,Mangroves,17,0.69,1.3,1.7,8.21,NA,NA,NA,NA,NA,BS,NA
2020-10-09,Mangroves,13,0.67,1.8,2.5,NA,NA,NA,NA,NA,NA,BS,NA
2020-10-16,Mangroves,19,0.67,1.6,2,NA,NA,NA,NA,NA,NA,BS,NA
2020-10-23,Mangroves,17,0.81,1.2,1,NA,NA,NA,NA,NA,NA,BS,NA
2020-10-30,Mangroves,17,0.74,1.1,0.6,NA,NA,NA,NA,NA,NA,BS,NA
2020-11-06,Mangroves,13,0.77,0.8,0.4,NA,NA,NA,NA,NA,NA,BS,NA
2020-11-13,Mangroves,17,0.51,0.5,0,NA,NA,NA,NA,NA,NA,KL?,NA
2020-11-20,Mangroves,18,1.32,1.4,2,NA,NA,NA,NA,NA,NA,BS,NA
2020-11-27,Mangroves,19,1.17,0.8,0.3,NA,NA,NA,NA,NA,NA,BS,NA
2020-12-04,Mangroves,23,0.69,0.8,0.5,NA,NA,NA,NA,NA,NA,BS,NA
2020-12-11,Mangroves,20,0.69,0.2,0.8,NA,NA,NA,NA,NA,NA,BS,NA
2020-12-18,Mangroves,10,0.96,1.2,1,NA,NA,NA,NA,NA,NA,DMT,NA
2020-12-25,Mangroves,18,0.72,1.1,1.1,8.29,NA,NA,NA,NA,NA,DMT,NA
2021-01-01,Mangroves,9,0.75,1,0.3,NA,NA,NA,NA,NA,NA,"DMT,MR",NA
2021-01-08,Mangroves,21,1.12,1.2,1.1,NA,NA,NA,NA,NA,NA,"BS,MR,DMT",NA
2021-01-15,Mangroves,15,0.86,0.9,0.8,NA,NA,NA,NA,NA,NA,"BS, MR",NA
2021-01-22,Mangroves,18,1.09,1.1,1.3,NA,NA,NA,NA,NA,NA,MR,NA
2021-01-29,Mangroves,23,0.79,1.1,0.2,NA,NA,NA,NA,NA,NA,"BS, MR",NA
2021-02-05,Mangroves,20,0.88,1.3,0.9,NA,NA,NA,NA,NA,NA,"BS, MR",NA
2021-02-12,Mangroves,19,0.82,1.3,1.7,NA,NA,NA,NA,NA,NA,"BS, MR, KM",NA
2021-02-19,Mangroves,20,0.88,1,0.8,NA,NA,NA,NA,NA,NA,"BS, MR",NA
2021-03-05,Mangroves,14,1.03,0.8,1.3,NA,NA,NA,NA,NA,NA,BS,NA
2021-03-12,Mangroves,13,0.62,0.8,0.9,NA,NA,NA,NA,NA,NA,MR,NA
2021-03-19,Mangroves,17,0.61,1.3,1.3,NA,NA,NA,NA,NA,NA,MR,NA
2021-03-26,Mangroves,18,0.73,1.1,1.3,NA,NA,NA,NA,NA,NA,"MR, BS",NA
2021-04-02,Mangroves,12,0.85,0.9,0.9,NA,NA,NA,NA,NA,NA,BS,NA
2021-04-09,Mangroves,16,0.8,0.9,0.1,NA,NA,NA,NA,NA,NA,"BS, MR",NA
2021-04-16,Mangroves,19,0.81,1.2,1,NA,NA,NA,NA,NA,NA,"BS, MR, KM",NA
2021-04-23,Mangroves,17,0.91,1.2,1,NA,NA,NA,NA,NA,NA,"MR, KM",NA
2021-04-30,Mangroves,17,0.8,1.1,0.4,NA,NA,NA,NA,NA,NA,"BS, MR, KM",NA
2021-05-07,Mangroves,19,0.83,1.2,1,NA,NA,NA,NA,NA,NA,"MR, BS",NA
2021-05-14,Mangroves,15,0.5,1.6,0.9,8.36,NA,NA,NA,NA,NA,"km,bs",NA
2021-05-21,Mangroves,19,0.56,1.4,1.2,NA,NA,NA,NA,NA,NA,MR,NA
2021-05-28,Mangroves,19,0.34,1.3,1,NA,NA,NA,NA,NA,NA,MR,NA
2021-06-04,Mangroves,23,0.5,1.2,1.3,NA,NA,NA,NA,NA,NA,"MR,BS",NA
2021-06-11,Mangroves,12,0.75,0.9,0.7,NA,NA,NA,NA,NA,NA,BS,NA
2021-06-18,Mangroves,18,0.68,1,1,NA,NA,NA,NA,NA,NA,"BS, MR, DS",NA
2021-06-25,Mangroves,15,0.93,1.3,1.9,8.23,NA,NA,NA,NA,NA,"BS,KM,DS",NA
2021-07-02,Mangroves,30,0.79,2,1.8,8.24,NA,NA,NA,NA,NA,"BS, KM",NA
2021-07-09,Mangroves,28,0.66,1,1,NA,NA,NA,NA,NA,NA,"BS, MR, DS",NA
2021-07-16,Mangroves,22,0.51,1.5,0.5,NA,NA,NA,NA,NA,NA,"MR,DS",NA
2021-07-23,Mangroves,21,0.64,1.8,1.5,NA,NA,NA,NA,NA,NA,"MR, DS",NA
2021-07-30,Mangroves,20,0.82,1.3,1.3,NA,NA,NA,NA,NA,NA,MR,NA
2021-08-06,Mangroves,23,1.07,1.4,1.7,NA,NA,NA,NA,NA,NA,"MR, KM",NA
2021-08-13,Mangroves,25,0.82,1.1,0.5,NA,NA,NA,NA,NA,NA,MR,NA
2021-08-20,Mangroves,23,0.93,1.1,0.2,NA,NA,NA,NA,NA,NA,"MR, DS",NA
2021-08-27,Mangroves,21,0.82,1.6,1.1,NA,NA,NA,NA,NA,NA,"MR, DS",NA
2021-09-03,Mangroves,20,0.72,1.5,1.5,NA,NA,NA,NA,NA,NA,"MR, DS",NA
2021-09-10,Mangroves,21,0.8,1.4,1.9,NA,NA,NA,NA,NA,NA,"MR, DS",NA
2021-09-17,Mangroves,21,0.66,1.6,0.5,NA,NA,NA,NA,NA,NA,"MR, DS",NA
2021-09-24,Mangroves,23,0.84,1.2,1.7,NA,NA,NA,NA,NA,NA,"MR, DS",NA
2021-10-01,Mangroves,17,0.79,1.2,0.8,NA,NA,NA,NA,NA,NA,"MR, DS",NA
2021-10-08,Mangroves,18,0.71,1.2,1,NA,NA,NA,NA,NA,NA,"MR, KM",NA
2021-10-15,Mangroves,17,0.64,0.8,0.3,NA,NA,NA,NA,NA,NA,"MR, DS",NA
2021-10-22,Mangroves,21,0.61,0.8,0.4,8.08,NA,NA,NA,NA,NA,"MR, DS",NA
2021-10-29,Mangroves,15,0.73,0.8,0.2,NA,NA,NA,NA,NA,NA,"MR, DS",NA
2021-11-05,Mangroves,20,0.72,1.2,0.9,NA,NA,NA,NA,NA,NA,"MR, DS",NA
2021-11-12,Mangroves,20,0.69,1.8,1,NA,NA,NA,NA,NA,NA,MR,NA
2021-11-19,Mangroves,18,0.77,1.4,1.4,NA,NA,NA,NA,NA,NA,DS,NA
2021-11-26,Mangroves,12,0.69,1,1,NA,NA,NA,NA,NA,NA,DS,NA
2021-12-03,Mangroves,30,0.78,1.1,0.7,NA,NA,NA,NA,NA,NA,DS,NA
2021-12-10,Mangroves,28,0.81,0.8,1,NA,NA,NA,NA,NA,NA,DS,NA
2021-12-17,Mangroves,24,0.56,0.5,1.6,NA,NA,NA,NA,NA,NA,DS,NA
2021-12-24,Mangroves,15,0.79,0.6,0.4,NA,NA,NA,NA,NA,NA,DS,NA
2021-12-31,Mangroves,12,0.75,0.6,0.3,NA,NA,NA,NA,NA,NA,DT,NA
2022-01-07,Mangroves,17,1.13,0.5,0.4,NA,NA,NA,NA,NA,NA,DS,NA
2022-01-14,Mangroves,18,0.76,0.8,0,NA,NA,NA,NA,NA,NA,DS,NA
2022-01-21,Mangroves,18,0.98,0.7,0.3,NA,NA,NA,NA,NA,NA,DS,NA
2022-01-28,Mangroves,17,0.67,0.3,0.1,NA,NA,NA,NA,NA,NA,"DS, RG, LC",NA
2022-02-04,Mangroves,22,0.51,0.6,1,NA,NA,NA,NA,NA,NA,"DS, RG, LC",NA
2022-02-11,Mangroves,14,0.53,0,0,NA,NA,NA,NA,NA,NA,"DS, RG, LG",NA
2022-02-18,Mangroves,12,0.81,NA,NA,NA,NA,NA,NA,NA,NA,"DS, LC",NA
2022-02-25,Mangroves,16,0.52,0.5,1.8,NA,NA,NA,NA,NA,NA,"DS, LC",NA
2022-03-04,Mangroves,17,0.94,0.9,0.7,NA,NA,NA,NA,NA,NA,LC,NA
2022-03-11,Mangroves,22,0.66,0.6,0.2,NA,NA,NA,NA,NA,NA,"DS, LC",NA
2022-03-18,Mangroves,13,0.56,0.9,1.6,NA,NA,NA,NA,NA,NA,"LC, ED",NA
2022-03-25,Mangroves,15,0.66,0.8,1,NA,NA,NA,NA,NA,NA,"LC, DS",NA
2022-04-01,Mangroves,18,0.56,1.2,0.2,NA,NA,NA,NA,NA,NA,"LC, DS, RG",NA
2022-04-08,Mangroves,18,0.55,2.2,2,8.08,NA,NA,NA,NA,NA,"LC, DS",NA
2022-04-15,Mangroves,19,0.6,1.1,1.5,NA,NA,NA,NA,NA,NA,LC,NA
2022-04-22,Mangroves,14,0.69,1.8,1.4,NA,NA,NA,NA,NA,NA,"LC, DS",NA
2022-04-29,Mangroves,20,0.85,0.9,0.3,NA,NA,NA,NA,NA,NA,"LC, DS",NA
2022-05-06,Mangroves,23,0.67,1.8,0,8.06,NA,NA,NA,NA,NA,"LC, DS",NA
2022-05-13,Mangroves,17,0.75,0.9,0.8,NA,NA,NA,NA,NA,NA,LC,NA
2022-05-20,Mangroves,19,0.85,1.5,1.1,NA,NA,NA,NA,NA,NA,"LC, DS",NA
2022-05-27,Mangroves,18,0.81,1.2,1,NA,NA,NA,NA,NA,NA,"LC, DS",NA
2022-06-10,Mangroves,16,0.72,1.7,2.7,NA,NA,NA,NA,NA,NA,"RG, LC, SK",NA
2022-06-17,Mangroves,13,1.05,2,2.57,NA,NA,NA,NA,NA,NA,"DS, AE, LC",NA
2022-06-24,Mangroves,16,0.59,1.27,1.87,NA,NA,NA,NA,NA,NA,"DS, AE, LC",NA
2022-07-01,Mangroves,17,0.49,NA,NA,7.85,NA,NA,NA,NA,NA,"DS, AE",NA
2022-07-08,Mangroves,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC, AE",NA
2022-07-15,Mangroves,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AE, DS",NA
2022-07-22,Mangroves,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AE, DS",NA
2022-07-29,Mangroves,22,0.36,NA,NA,NA,NA,NA,NA,NA,NA,AE,NA
2022-08-05,Mangroves,18,0.88,1.63,1.37,7.9,NA,NA,NA,NA,NA,"AE, DS",NA
2022-08-12,Mangroves,19,0.69,1.5,1.23,NA,NA,NA,NA,NA,NA,"AE, DS",NA
2022-08-26,Mangroves,17,0.59,1.2,1.6,NA,NA,NA,NA,NA,NA,"LC, AW",NA
2022-09-02,Mangroves,19,0.66,1.36,1.5,7.9,NA,NA,NA,NA,NA,"DS, AW",NA
2022-09-09,Mangroves,19,0.79,1.6,1.6,NA,NA,NA,NA,NA,NA,"DS, LC",NA
2022-09-16,Mangroves,19,0.41,1.7,3.5,NA,NA,NA,NA,NA,NA,DS,NA
2022-09-23,Mangroves,19,0.64,1.2,1.5,NA,NA,NA,NA,NA,NA,"DS, LC, JH",NA
2022-09-30,Mangroves,16,0.49,1.23,1.17,NA,NA,NA,NA,NA,NA,"DS, LC",NA
2022-10-03,Mangroves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RG,NA
2022-10-07,Mangroves,20,0.59,1.83,1.6,7.87,NA,NA,NA,NA,NA,"DS, JH",NA
2022-10-14,Mangroves,2,0.55,1.1,0,NA,NA,NA,NA,NA,NA,"DS, JH",NA
2022-10-25,Mangroves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RG,NA
2017-12-01,Raceway 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-12-07,Raceway 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-12-15,Raceway 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-12-21,Raceway 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-12-28,Raceway 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-03,Raceway 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-12,Raceway 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-19,Raceway 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-25,Raceway 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-31,Raceway 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-10,Raceway 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-14,Raceway 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-23,Raceway 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-02,Raceway 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-08,Raceway 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-17,Raceway 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-20,Raceway 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-29,Raceway 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-03,Raceway 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-11,Raceway 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-19,Raceway 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-27,Raceway 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-05-01,Raceway 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-05-10,Raceway 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-05-18,Raceway 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-05-25,Raceway 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-06-01,Raceway 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-06-07,Raceway 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-06-13,Raceway 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-06-22,Raceway 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-06-26,Raceway 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
